,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
0,Krasnoarmiys'k,48.282,37.1758,18.96,95,76,1.7,UA,1624740537
1,Cidreira,-30.1811,-50.2056,16.5,96,100,5.41,BR,1624740538
2,Hervey Bay,-25.2986,152.8535,13.06,92,100,1.79,AU,1624740538
3,Dikson,73.5069,80.5464,0.16,86,19,0.92,RU,1624740539
4,Punta Arenas,-53.15,-70.9167,4.06,81,0,3.09,CL,1624740539
5,Chui,-33.6971,-53.4616,13.33,95,100,1.99,UY,1624740540
6,Atuona,-9.8,-139.0333,25.83,73,58,10.01,PF,1624740540
7,Yellowknife,62.456,-114.3525,26.29,38,40,7.72,CA,1624740312
8,Makkah al Mukarramah,21.4267,39.8261,31.68,31,12,1.94,SA,1624740385
9,Anzhero-Sudzhensk,56.081,86.0285,11.81,89,100,2.68,RU,1624740541
10,Pionerskiy,54.9508,20.2275,14.91,82,2,4.54,RU,1624740542
11,Hong Kong,22.2855,114.1577,30.21,90,97,1.79,HK,1624740543
12,Viet Tri,21.3019,105.4308,25.97,79,77,0.59,VN,1624740543
13,Mar del Plata,-38.0023,-57.5575,11.67,60,90,2.57,AR,1624740544
14,Severo-Kuril'sk,50.6789,156.125,7.61,89,83,6.79,RU,1624740545
15,Mataura,-46.1927,168.8643,5.27,94,100,1.21,NZ,1624740504
16,Chernyshevskiy,63.0128,112.4714,16.24,66,77,0.89,RU,1624740546
17,Hilo,19.7297,-155.09,28.78,64,1,3.09,US,1624740546
18,Lebu,-37.6167,-73.65,9.11,71,1,6.03,CL,1624740490
19,Barrow,71.2906,-156.7887,14.01,67,40,8.23,US,1624740547
20,Vaini,-21.2,-175.2,22.09,78,20,5.66,TO,1624740547
21,Tasiilaq,65.6145,-37.6368,11.09,61,3,2.76,GL,1624740548
22,Cape Town,-33.9258,18.4232,14.38,67,40,0.89,ZA,1624740395
23,Rikitea,-23.1203,-134.9692,23.63,76,3,4.79,PF,1624740339
24,Innisfail,-17.5333,146.0333,20.83,81,99,3.98,AU,1624740549
25,Hobart,-42.8794,147.3294,9.4,75,40,0.45,AU,1624740397
26,Saskylakh,71.9167,114.0833,7.26,58,87,3.93,RU,1624740550
27,Cockburn Town,21.4612,-71.1419,28.98,65,20,5.14,TC,1624740551
28,Bethel,41.3712,-73.414,27.6,82,94,5.25,US,1624740551
29,Valkla,59.4744,25.3186,18.03,89,7,3.29,EE,1624740552
30,Dogondoutchi,13.6393,4.0287,35.64,31,16,5.47,NE,1624740552
31,Puerto Ayora,-0.7393,-90.3518,26.98,86,53,2.68,EC,1624740553
32,Wonthaggi,-38.6044,145.5913,12.06,86,83,4.87,AU,1624740553
33,East London,-33.0153,27.9116,15.06,65,23,5.97,ZA,1624740554
34,Hithadhoo,-0.6,73.0833,28.29,71,100,5.52,MV,1624740555
35,Carnarvon,-24.8667,113.6333,17.62,56,100,5.86,AU,1624740555
36,Puerto Madryn,-42.7692,-65.0385,6.66,67,96,11.01,AR,1624740499
37,George Town,5.4112,100.3354,26.61,88,20,0.89,MY,1624740351
38,Rocha,-34.4833,-54.3333,12.4,96,94,2.39,UY,1624740556
39,Castro,-24.7911,-50.0119,16.39,85,0,2.1,BR,1624740557
40,São Borja,-28.6606,-56.0044,13.48,96,100,5.91,BR,1624740557
41,Karratha,-20.7377,116.8463,17.8,47,100,3.07,AU,1624740558
42,Mil'kovo,54.7167,158.6167,8.4,93,100,0.4,RU,1624740558
43,Cabo San Lucas,22.8909,-109.9124,37.51,66,79,5.34,MX,1624740449
44,Užventis,55.7803,22.6547,19.04,95,47,2.63,LT,1624740559
45,Albany,42.6001,-73.9662,28.98,68,100,4.93,US,1624740378
46,Sibu,2.3,111.8167,25.17,94,40,0.89,MY,1624740560
47,Prainha,-1.8,-53.48,27.85,68,41,1.86,BR,1624740560
48,Bredasdorp,-34.5322,20.0403,13.49,71,100,1.54,ZA,1624740561
49,Saint Paul Harbor,57.79,-152.4072,10.73,87,90,3.09,US,1624740562
50,Sur,22.5667,59.5289,29.72,56,0,8.23,OM,1624740313
51,Northam,51.0333,-4.2167,17.44,82,97,1.39,GB,1624740562
52,Tuatapere,-46.1333,167.6833,5.46,93,100,1.71,NZ,1624740544
53,Saint-Pierre,-21.3393,55.4781,19.82,73,75,2.06,RE,1624740563
54,Laguna,38.421,-121.4238,40.12,37,1,0.45,US,1624740564
55,Elko,41.0002,-115.5012,30.01,14,22,2.68,US,1624740565
56,Sola,-13.8833,167.55,26.43,71,24,11.11,VU,1624740565
57,Miandrivazo,-19.5167,45.4667,18.54,49,10,0.29,MG,1624740566
58,Muzaffarabad,34.37,73.4711,22.61,59,0,2.18,PK,1624740566
59,Natal,-5.795,-35.2094,27.36,69,0,8.75,BR,1624740567
60,Dingle,10.9995,122.6711,24.62,89,100,1.68,PH,1624740567
61,Ushuaia,-54.8,-68.3,3.81,70,0,0.0,AR,1624740560
62,Caculé,-14.5033,-42.2222,21.75,59,67,4.42,BR,1624740568
63,Newport,51.5877,-2.9984,18.29,74,91,3.13,GB,1624740569
64,Norman Wells,65.282,-126.8329,27.02,34,40,2.57,CA,1624740569
65,Vardø,70.3705,31.1107,7.99,81,75,1.54,NO,1624740570
66,Thompson,55.7435,-97.8558,21.09,35,40,2.57,CA,1624740518
67,Rockland,41.1668,-74.0496,28.66,80,88,0.45,US,1624740570
68,Bandundu Province,-3.3167,17.3667,26.79,44,19,0.8,CD,1624740571
69,Yayva,59.3303,57.2641,13.43,93,67,0.7,RU,1624740572
70,Hastings,50.8552,0.5729,17.17,90,100,6.05,GB,1624740572
71,Upernavik,72.7868,-56.1549,3.42,96,100,5.78,GL,1624740573
72,Melfi,40.9965,15.6514,23.16,52,4,0.83,IT,1624740573
73,Bonthe,7.5264,-12.505,25.6,83,88,2.27,SL,1624740574
74,Kapaa,22.0752,-159.319,29.18,73,1,1.34,US,1624740571
75,Nikolskoye,59.7035,30.7861,19.94,91,6,1.58,RU,1624740574
76,Mae Hong Son,19.3003,97.9685,23.87,99,100,0.93,TH,1624740575
77,Mweka,-4.85,21.5667,21.43,42,10,0.77,CD,1624740575
78,Knysna,-34.0363,23.0471,12.21,84,97,2.05,ZA,1624740475
